index,Trade Count,Win Rate,Lowest Value,Profit Rate Peak,Final Profit Rate,Max Profit Rate Single Trade,Max Loss Rate Single Trade,Max Streak,Max Loss Streak,Max Draw Down,Profit Factor
0,9,0.0,1702.015199539999,0.058404373561000034,-0.8297984800460001,0,-0.48076748439993255,0,9,0.839190460465165,0.0
1,21,0.19047619047619047,1627.581786394987,0.10809289635774899,-0.8372418213605013,0.012820512820512775,-0.29327695560253697,2,8,0.8531186517173087,0.015424531281856139
2,17,0.11764705882352941,667.6337525799929,0.010652271202999941,-0.9330665457420007,0.012820512820512775,-0.48076748439993255,1,11,0.9339403104704553,0.010245752056374716
3,11,0.09090909090909091,1100.9569032275024,0.25431944053675015,-0.8896229306772498,0.0008513743614690927,-0.48076748439993255,1,10,0.9122267527994001,0.00010637924107914954
4,19,0.21052631578947367,1627.39864509499,0.039572922127500076,-0.837260135490501,0.012820512820512775,-0.29327695560253697,2,7,0.843455075593495,0.014870146325943436
5,16,0.125,976.6206778674918,0.13424073459774943,-0.9023353332132509,0.009137919748641643,-0.48076748439993255,1,9,0.9138965258363919,0.0028096203022578373
6,15,0.2,1497.1399875900006,0.25659922732999996,-0.817850537212,0.21454633909024579,-0.48076748439993255,1,7,0.8808577981723658,0.06272582123082372
7,13,0.23076923076923078,3437.907305257493,0.6681606588689997,-0.6526631884742506,0.19875936934608407,-0.29327695560253697,2,9,0.7939102995278423,0.36534243048076775
8,14,0.14285714285714285,853.8296614624971,0.20742474545550005,-0.8961276118537503,0.21454633909024579,-0.48076748439993255,1,12,0.9292850618909263,0.06464538098439605
9,13,0.07692307692307693,506.12077328249273,0.02151707722499996,-0.9492598436717508,0.0008513743614690927,-0.48076748439993255,1,12,0.950454007616065,4.5355266277326274e-05
